session_id,customer_id,device_type,session_start,start_time,session_end,end_time,session_duration_sec,pages_visited,viewed_category,viewed_product
SES000026,CUST0238,Tablet,2023-06-19,5.13.00 AM,2023-06-19,5.21.57 AM,537,12,Groceries,Rice
SES000027,CUST0332,Mobile,2023-01-16,5.48.00 AM,2023-01-16,5.50.28 AM,148,5,Sports,Cricket Bat
SES000028,CUST0489,Tablet,2023-09-22,5.50.00 PM,2023-09-22,6.02.17 PM,737,11,Fashion,T-shirt
SES000029,CUST0366,Mobile,2023-06-16,1.49.00 AM,2023-06-16,1.49.34 AM,34,1,Sports,Tennis Racket
SES000030,CUST0418,Mobile,2023-08-16,10.28.00 PM,2023-08-16,10.32.04 PM,244,5,Sports,Tennis Racket
SES000031,CUST0170,Tablet,2023-02-19,6.45.00 AM,2023-02-19,6.53.00 AM,480,11,Sports,Football
SES000032,CUST0434,Mobile,2023-02-22,4.27.00 AM,2023-02-22,4.28.16 AM,76,4,Fashion,Jeans
SES000033,CUST0134,Tablet,2023-03-26,10.34.00 PM,2023-03-26,10.43.08 PM,548,14,Fashion,Jeans
SES000034,CUST0153,Desktop,2023-10-11,6.11.00 PM,2023-10-11,6.25.33 PM,873,7,Fashion,Jacket
SES000035,CUST0385,Desktop,2023-09-14,1.23.00 AM,2023-09-14,1.36.52 AM,832,10,Electronics,Headphones
SES000036,CUST0054,Tablet,2023-06-24,4.48.00 AM,2023-06-24,4.54.07 AM,367,5,Sports,Football
SES000037,CUST0069,Tablet,2023-08-24,9.28.00 PM,2023-08-24,9.37.46 PM,586,12,Fashion,Shoes
SES000038,CUST0344,Desktop,2023-09-30,4.53.00 AM,2023-09-30,4.59.44 AM,404,10,Electronics,Keyboard
SES000039,CUST0147,Tablet,2023-03-08,6.55.00 PM,2023-03-08,7.08.30 PM,810,9,Sports,Cricket Bat
SES000040,CUST0219,Desktop,2023-05-18,1.18.00 PM,2023-05-18,1.18.54 PM,54,4,Sports,Tennis Racket
SES000041,CUST0250,Tablet,2023-03-05,6.24.00 AM,2023-03-05,6.29.20 AM,320,12,Electronics,Keyboard
SES000042,CUST0444,Mobile,2023-03-02,11.43.00 PM,2023-03-02,11.52.51 PM,591,14,Beauty,Face Wash
SES000043,CUST0361,Desktop,2023-04-22,1.20.00 PM,2023-04-22,1.30.22 PM,622,14,Electronics,Laptop
SES000044,CUST0135,Tablet,2023-12-14,6.58.00 PM,2023-12-14,7.04.20 PM,380,1,Electronics,Smartphone
SES000045,CUST0325,Desktop,2023-10-24,9.36.00 AM,2023-10-24,9.36.37 AM,37,5,Sports,Tennis Racket
SES000046,CUST0262,Desktop,2023-02-01,12.35.00 AM,2023-02-01,12.35.22 AM,22,5,Sports,Tennis Racket
SES000047,CUST0200,Tablet,2023-02-06,8.09.00 PM,2023-02-06,8.13.50 PM,290,13,Sports,Tennis Racket
SES000048,CUST0480,Tablet,2023-08-31,1.34.00 PM,2023-08-31,1.48.27 PM,867,11,Fashion,T-shirt
SES000049,CUST0145,Desktop,2023-07-26,9.03.00 AM,2023-07-26,9.04.43 AM,103,11,Sports,Football
SES000050,CUST0010,Tablet,2023-08-26,5.03.00 AM,2023-08-26,5.03.49 AM,49,12,Groceries,Snacks
SES000051,CUST0053,Mobile,2023-01-17,8.55.00 AM,2023-01-17,8.56.12 AM,72,15,Beauty,Perfume
SES000052,CUST0328,Mobile,2023-08-03,6.07.00 PM,2023-08-03,6.15.08 PM,488,1,Electronics,Laptop
SES000053,CUST0399,Mobile,2023-05-25,4.05.00 AM,2023-05-25,4.08.47 AM,227,14,Groceries,Snacks
SES000054,CUST0469,Tablet,2023-03-14,4.46.00 PM,2023-03-14,4.55.05 PM,545,3,Electronics,Headphones
SES000055,CUST0121,Desktop,2023-03-26,8.20.00 PM,2023-03-26,8.25.34 PM,334,5,Beauty,Shampoo
SES000056,CUST0240,Desktop,2023-11-21,10.39.00 AM,2023-11-21,10.48.03 AM,543,8,Electronics,Smartphone
SES000057,CUST0311,Desktop,2023-07-14,2.52.00 PM,2023-07-14,2.55.12 PM,192,10,Electronics,Smartphone
SES000058,CUST0178,Tablet,2023-07-22,5.37.00 PM,2023-07-22,5.41.04 PM,244,9,Beauty,Face Wash
SES000059,CUST0292,Tablet,2023-07-17,5.50.00 PM,2023-07-17,5.56.07 PM,367,7,Beauty,Shampoo
SES000060,CUST0201,Mobile,2023-04-28,2.46.00 PM,2023-04-28,2.55.49 PM,589,3,Groceries,Oil
SES000061,CUST0396,Tablet,2023-11-19,5.02.00 AM,2023-11-19,5.12.01 AM,601,15,Fashion,Jeans
SES000062,CUST0035,Desktop,2023-12-20,4.50.00 PM,2023-12-20,4.53.59 PM,239,7,Fashion,Jeans
SES000063,CUST0345,Mobile,2023-03-13,6.22.00 AM,2023-03-13,6.28.29 AM,389,9,Groceries,Juice
SES000064,CUST0310,Desktop,2023-04-07,11.29.00 AM,2023-04-07,11.42.37 AM,817,14,Groceries,Rice
SES000065,CUST0236,Tablet,2023-10-29,12.07.00 PM,2023-10-29,12.08.29 PM,89,3,Fashion,Jacket
SES000066,CUST0163,Mobile,2023-06-10,10.14.00 AM,2023-06-10,10.22.10 AM,490,6,Beauty,Face Wash
SES000067,CUST0015,Tablet,2023-04-30,9.49.00 AM,2023-04-30,10.00.33 AM,693,5,Fashion,T-shirt
SES000068,CUST0271,Tablet,2023-03-30,2.06.00 AM,2023-03-30,2.11.45 AM,345,8,Sports,Cricket Bat
SES000069,CUST0204,Tablet,2023-03-14,5.45.00 AM,2023-03-14,5.58.25 AM,805,7,Beauty,Shampoo
SES000070,CUST0029,Mobile,2023-12-28,9.54.00 PM,2023-12-28,9.58.15 PM,255,8,Fashion,Shoes
SES000071,CUST0390,Mobile,2023-06-30,6.54.00 PM,2023-06-30,6.56.31 PM,151,14,Beauty,Perfume
SES000072,CUST0100,Mobile,2023-08-20,3.48.00 AM,2023-08-20,4.00.05 AM,725,8,Sports,Cricket Bat
SES000073,CUST0183,Tablet,2023-06-14,9.32.00 AM,2023-06-14,9.41.53 AM,593,6,Beauty,Face Wash
SES000074,CUST0129,Tablet,2023-09-08,12.27.00 PM,2023-09-08,12.38.36 PM,696,13,Electronics,Mouse
SES000075,CUST0467,Desktop,2023-05-20,10.28.00 PM,2023-05-20,10.29.05 PM,65,3,Beauty,Perfume
SES000076,CUST0262,Mobile,2023-01-24,4.44.00 PM,2023-01-24,4.55.18 PM,678,2,Groceries,Rice
SES000077,CUST0214,Tablet,2023-05-13,10.24.00 PM,2023-05-13,10.26.04 PM,124,3,Sports,Football
SES000078,CUST0469,Mobile,2023-06-22,1.06.00 PM,2023-06-22,1.18.06 PM,726,5,Electronics,Mouse
SES000079,CUST0047,Desktop,2023-04-24,1.09.00 PM,2023-04-24,1.10.05 PM,65,14,Fashion,Jacket
SES000080,CUST0141,Desktop,2023-12-12,4.52.00 PM,2023-12-12,5.04.25 PM,745,4,Groceries,Juice
SES000081,CUST0247,Tablet,2023-02-10,4.01.00 AM,2023-02-10,4.13.19 AM,739,7,Fashion,Shoes
SES000082,CUST0181,Tablet,2023-12-15,2.37.00 PM,2023-12-15,2.37.40 PM,40,6,Groceries,Rice
SES000083,CUST0489,Desktop,2023-05-20,8.45.00 PM,2023-05-20,8.51.38 PM,398,14,Electronics,Keyboard
SES000084,CUST0439,Mobile,2023-11-07,1.48.00 PM,2023-11-07,1.57.43 PM,583,5,Fashion,T-shirt
SES000085,CUST0282,Desktop,2023-12-16,4.38.00 PM,2023-12-16,4.52.40 PM,880,15,Groceries,Snacks
SES000086,CUST0176,Tablet,2023-05-20,6.53.00 PM,2023-05-20,7.03.02 PM,602,8,Sports,Football
SES000087,CUST0213,Tablet,2023-01-28,4.43.00 PM,2023-01-28,4.48.46 PM,346,4,Electronics,Laptop
SES000088,CUST0156,Desktop,2023-11-03,10.54.00 PM,2023-11-03,11.05.25 PM,685,14,Sports,Football
SES000089,CUST0306,Mobile,2023-04-05,2.57.00 AM,2023-04-05,3.07.49 AM,649,12,Fashion,T-shirt
SES000090,CUST0203,Mobile,2023-11-01,4.15.00 PM,2023-11-01,4.24.00 PM,540,7,Electronics,Smartphone
SES000091,CUST0086,Tablet,2023-12-06,11.47.00 PM,2023-12-06,11.52.54 PM,354,8,Groceries,Rice
SES000092,CUST0240,Tablet,2023-02-28,7.02.00 PM,2023-02-28,7.09.53 PM,473,3,Electronics,Keyboard
SES000093,CUST0267,Tablet,2023-08-24,1.35.00 PM,2023-08-24,1.36.21 PM,81,9,Groceries,Snacks
SES000094,CUST0168,Tablet,2023-03-26,6.27.00 AM,2023-03-26,6.38.47 AM,707,3,Groceries,Rice
SES000095,CUST0375,Tablet,2023-09-21,1.14.00 PM,2023-09-21,1.25.49 PM,709,6,Groceries,Juice
SES000096,CUST0415,Desktop,2023-12-19,10.51.00 PM,2023-12-19,10.58.35 PM,455,1,Fashion,T-shirt
SES000097,CUST0188,Mobile,2023-10-03,1.34.00 PM,2023-10-03,1.36.04 PM,124,13,Sports,Football
SES000098,CUST0073,Mobile,2023-01-14,11.31.00 AM,2023-01-14,11.36.11 AM,311,13,Fashion,Shoes
SES000099,CUST0033,Tablet,2023-11-12,9.38.00 PM,2023-11-12,9.44.37 PM,397,6,Groceries,Oil
SES000100,CUST0095,Desktop,2023-01-26,12.31.00 AM,2023-01-26,12.34.42 AM,222,4,Beauty,Face Wash
SES000101,CUST0160,Tablet,2023-03-27,5.14.00 PM,2023-03-27,5.25.10 PM,670,10,Electronics,Smartphone
SES000102,CUST0104,Desktop,2023-12-16,11.41.00 PM,2023-12-16,11.44.44 PM,224,11,Electronics,Mouse
SES000103,CUST0473,Desktop,2023-03-20,10.29.00 PM,2023-03-20,10.43.20 PM,860,14,Sports,Cricket Bat
SES000104,CUST0014,Tablet,2023-04-06,2.17.00 PM,2023-04-06,2.24.26 PM,446,12,Electronics,Laptop
SES000105,CUST0422,Desktop,2023-11-18,11.32.00 PM,2023-11-18,11.34.53 PM,173,5,Electronics,Smartphone
SES000106,CUST0091,Mobile,2023-05-16,7.52.00 PM,2023-05-16,7.54.20 PM,140,13,Groceries,Snacks
SES000107,CUST0048,Mobile,2023-11-20,9.43.00 AM,2023-11-20,9.57.25 AM,865,8,Groceries,Oil
SES000108,CUST0020,Mobile,2023-07-04,12.17.00 AM,2023-07-04,12.29.53 AM,773,12,Electronics,Keyboard
SES000109,CUST0020,Tablet,2023-02-19,5.26.00 PM,2023-02-19,5.36.04 PM,604,12,Fashion,Shoes
SES000110,CUST0448,Desktop,2023-07-31,6.33.00 AM,2023-07-31,6.33.57 AM,57,11,Groceries,Snacks
SES000111,CUST0354,Desktop,2023-04-20,10.48.00 PM,2023-04-20,11.02.17 PM,857,9,Electronics,Smartphone
SES000112,CUST0264,Tablet,2023-02-14,8.49.00 AM,2023-02-14,8.59.22 AM,622,2,Beauty,Face Wash
SES000113,CUST0500,Tablet,2023-03-24,5.28.00 AM,2023-03-24,5.36.14 AM,494,10,Sports,Cricket Bat
SES000114,CUST0208,Mobile,2023-10-25,6.34.00 AM,2023-10-25,6.41.29 AM,449,4,Groceries,Juice
SES000115,CUST0492,Desktop,2023-07-24,12.04.00 AM,2023-07-24,12.17.44 AM,824,4,Sports,Football
SES000116,CUST0461,Tablet,2023-04-01,3.30.00 PM,2023-04-01,3.39.59 PM,599,10,Beauty,Perfume
SES000117,CUST0120,Tablet,2023-12-09,1.17.00 PM,2023-12-09,1.21.37 PM,277,8,Beauty,Face Wash
SES000118,CUST0491,Mobile,2023-05-21,4.49.00 PM,2023-05-21,4.56.44 PM,464,15,Beauty,Perfume
SES000119,CUST0246,Tablet,2023-02-03,3.12.00 AM,2023-02-03,3.17.05 AM,305,1,Fashion,Shoes
SES000120,CUST0011,Tablet,2023-07-07,7.01.00 PM,2023-07-07,7.07.05 PM,365,2,Fashion,Jeans
SES000121,CUST0078,Desktop,2023-06-23,8.46.00 AM,2023-06-23,8.53.10 AM,430,5,Sports,Tennis Racket
SES000122,CUST0016,Desktop,2023-11-29,1.25.00 PM,2023-11-29,1.38.06 PM,786,14,Electronics,Laptop
SES000123,CUST0126,Desktop,2023-07-01,3.17.00 AM,2023-07-01,3.22.16 AM,316,8,Groceries,Oil
SES000124,CUST0074,Mobile,2023-07-30,12.55.00 AM,2023-07-30,12.59.54 AM,294,15,Electronics,Headphones
SES000125,CUST0343,Tablet,2023-03-12,5.50.00 PM,2023-03-12,5.51.58 PM,118,8,Groceries,Juice
SES000126,CUST0401,Tablet,2023-08-04,10.09.00 PM,2023-08-04,10.18.34 PM,574,1,Electronics,Headphones
SES000127,CUST0217,Mobile,2023-04-12,12.49.00 AM,2023-04-12,1.01.12 AM,732,6,Fashion,T-shirt
SES000128,CUST0288,Desktop,2023-03-02,6.07.00 AM,2023-03-02,6.20.11 AM,791,9,Beauty,Perfume
SES000129,CUST0230,Desktop,2023-01-22,2.27.00 PM,2023-01-22,2.32.47 PM,347,9,Groceries,Oil
SES000130,CUST0270,Tablet,2023-09-20,2.26.00 AM,2023-09-20,2.32.38 AM,398,11,Electronics,Smartphone
SES000131,CUST0448,Mobile,2023-11-11,3.25.00 PM,2023-11-11,3.27.28 PM,148,15,Electronics,Headphones
SES000132,CUST0088,Desktop,2023-02-21,10.37.00 PM,2023-02-21,10.49.11 PM,731,11,Sports,Tennis Racket
SES000133,CUST0494,Desktop,2023-03-30,5.23.00 PM,2023-03-30,5.29.30 PM,390,10,Fashion,Jacket
SES000134,CUST0101,Mobile,2023-03-30,10.16.00 AM,2023-03-30,10.19.49 AM,229,4,Groceries,Rice
SES000135,CUST0051,Mobile,2023-10-25,4.50.00 PM,2023-10-25,4.55.05 PM,305,12,Beauty,Shampoo
SES000136,CUST0451,Mobile,2023-01-21,10.29.00 PM,2023-01-21,10.32.12 PM,192,13,Groceries,Oil
SES000137,CUST0033,Tablet,2023-11-14,6.36.00 PM,2023-11-14,6.48.20 PM,740,6,Beauty,Face Wash
SES000138,CUST0271,Desktop,2023-11-09,9.02.00 AM,2023-11-09,9.02.24 AM,24,14,Fashion,Jeans
SES000139,CUST0090,Mobile,2023-11-05,12.25.00 PM,2023-11-05,12.33.12 PM,492,6,Sports,Cricket Bat
SES000140,CUST0015,Desktop,2023-06-28,12.39.00 PM,2023-06-28,12.49.46 PM,646,4,Groceries,Juice
SES000141,CUST0192,Desktop,2023-10-29,5.10.00 AM,2023-10-29,5.16.28 AM,388,5,Sports,Football
SES000142,CUST0392,Desktop,2023-06-07,4.37.00 AM,2023-06-07,4.45.22 AM,502,5,Fashion,Jeans
SES000143,CUST0247,Mobile,2023-08-14,9.07.00 PM,2023-08-14,9.13.00 PM,360,1,Sports,Cricket Bat
SES000144,CUST0344,Tablet,2023-12-17,8.23.00 PM,2023-12-17,8.29.46 PM,406,5,Groceries,Snacks
SES000145,CUST0159,Mobile,2023-06-14,7.36.00 AM,2023-06-14,7.49.16 AM,796,13,Sports,Football
SES000146,CUST0122,Desktop,2023-05-21,12.57.00 AM,2023-05-21,1.05.59 AM,539,6,Groceries,Juice
SES000147,CUST0324,Tablet,2023-04-21,12.46.00 PM,2023-04-21,12.53.12 PM,432,13,Electronics,Smartphone
SES000148,CUST0468,Mobile,2023-08-14,2.07.00 PM,2023-08-14,2.11.12 PM,252,14,Electronics,Headphones
SES000149,CUST0214,Mobile,2023-05-17,3.54.00 AM,2023-05-17,3.59.39 AM,339,4,Fashion,Shoes
SES000150,CUST0106,Tablet,2023-11-15,9.42.00 PM,2023-11-15,9.56.17 PM,857,10,Fashion,Jeans
SES000151,CUST0088,Desktop,2023-07-03,2.39.00 AM,2023-07-03,2.40.35 AM,95,12,Electronics,Keyboard
SES000152,CUST0390,Tablet,2023-11-28,6.41.00 PM,2023-11-28,6.41.25 PM,25,15,Electronics,Mouse
SES000153,CUST0155,Tablet,2023-12-02,12.22.00 PM,2023-12-02,12.33.35 PM,695,1,Sports,Football
SES000154,CUST0026,Mobile,2023-12-09,11.14.00 PM,2023-12-09,11.16.55 PM,175,2,Electronics,Laptop
SES000155,CUST0291,Tablet,2023-04-11,12.20.00 AM,2023-04-11,12.25.51 AM,351,13,Beauty,Face Wash
SES000156,CUST0086,Mobile,2023-11-21,11.53.00 AM,2023-11-21,12.07.59 PM,899,10,Fashion,T-shirt
SES000157,CUST0167,Mobile,2023-06-07,9.04.00 AM,2023-06-07,9.14.27 AM,627,10,Sports,Cricket Bat
SES000158,CUST0210,Desktop,2023-05-21,8.33.00 PM,2023-05-21,8.37.48 PM,288,9,Fashion,T-shirt
SES000159,CUST0161,Mobile,2023-01-20,6.18.00 PM,2023-01-20,6.28.23 PM,623,11,Fashion,T-shirt
SES000160,CUST0057,Desktop,2023-11-07,9.28.00 PM,2023-11-07,9.33.23 PM,323,4,Fashion,Jeans
SES000161,CUST0358,Tablet,2023-11-30,7.44.00 AM,2023-11-30,7.45.20 AM,80,8,Beauty,Perfume
SES000162,CUST0215,Desktop,2023-05-20,4.31.00 AM,2023-05-20,4.38.20 AM,440,7,Electronics,Laptop
SES000163,CUST0218,Mobile,2023-03-14,12.36.00 AM,2023-03-14,12.37.55 AM,115,15,Groceries,Rice
SES000164,CUST0366,Desktop,2023-05-23,4.15.00 PM,2023-05-23,4.21.28 PM,388,15,Electronics,Smartphone
SES000165,CUST0218,Tablet,2023-03-24,6.01.00 AM,2023-03-24,6.15.59 AM,899,15,Groceries,Rice
SES000166,CUST0291,Desktop,2023-12-11,3.22.00 PM,2023-12-11,3.35.19 PM,799,5,Electronics,Mouse
SES000167,CUST0411,Tablet,2023-07-10,6.34.00 PM,2023-07-10,6.39.54 PM,354,1,Electronics,Keyboard
SES000168,CUST0086,Mobile,2023-11-15,7.24.00 AM,2023-11-15,7.24.52 AM,52,14,Beauty,Face Wash
SES000169,CUST0308,Desktop,2023-11-15,12.59.00 AM,2023-11-15,1.05.06 AM,366,8,Sports,Cricket Bat
SES000170,CUST0300,Mobile,2023-03-25,10.00.00 PM,2023-03-25,10.11.15 PM,675,3,Groceries,Snacks
SES000171,CUST0127,Desktop,2023-10-26,3.42.00 AM,2023-10-26,3.43.01 AM,61,8,Fashion,Jacket
SES000172,CUST0229,Tablet,2023-04-10,12.35.00 PM,2023-04-10,12.39.44 PM,284,11,Electronics,Laptop
SES000173,CUST0474,Mobile,2023-05-20,11.55.00 PM,2023-05-21,12.08.16 AM,796,7,Electronics,Keyboard
SES000174,CUST0178,Mobile,2023-09-20,8.36.00 PM,2023-09-20,8.41.22 PM,322,4,Groceries,Snacks
SES000175,CUST0135,Tablet,2023-10-05,9.23.00 AM,2023-10-05,9.28.23 AM,323,14,Beauty,Shampoo
SES000176,CUST0169,Tablet,2023-11-07,5.30.00 AM,2023-11-07,5.43.03 AM,783,7,Groceries,Snacks
SES000177,CUST0249,Desktop,2023-07-15,2.41.00 AM,2023-07-15,2.42.43 AM,103,15,Electronics,Mouse
SES000178,CUST0368,Tablet,2023-05-31,4.59.00 PM,2023-05-31,5.08.34 PM,574,11,Groceries,Juice
SES000179,CUST0186,Mobile,2023-08-23,4.47.00 PM,2023-08-23,4.53.43 PM,403,12,Beauty,Shampoo
SES000180,CUST0353,Mobile,2023-08-16,6.16.00 AM,2023-08-16,6.29.53 AM,833,15,Groceries,Oil
SES000181,CUST0259,Tablet,2023-09-20,7.19.00 PM,2023-09-20,7.27.22 PM,502,1,Sports,Cricket Bat
SES000182,CUST0043,Mobile,2023-09-26,1.54.00 AM,2023-09-26,2.08.29 AM,869,9,Beauty,Perfume
SES000183,CUST0113,Tablet,2023-11-26,9.29.00 AM,2023-11-26,9.31.11 AM,131,6,Fashion,Jeans
SES000184,CUST0355,Tablet,2023-07-15,9.25.00 AM,2023-07-15,9.36.12 AM,672,6,Sports,Cricket Bat
SES000185,CUST0369,Desktop,2023-12-11,10.20.00 AM,2023-12-11,10.28.33 AM,513,5,Beauty,Shampoo
SES000186,CUST0355,Mobile,2023-05-31,1.27.00 PM,2023-05-31,1.39.21 PM,741,11,Electronics,Mouse
SES000187,CUST0018,Desktop,2023-03-09,6.09.00 PM,2023-03-09,6.21.51 PM,771,10,Groceries,Rice
SES000188,CUST0069,Tablet,2023-02-17,3.53.00 AM,2023-02-17,4.01.35 AM,515,2,Fashion,Jacket
SES000189,CUST0372,Tablet,2023-02-16,2.51.00 PM,2023-02-16,3.01.24 PM,624,1,Electronics,Laptop
SES000190,CUST0172,Mobile,2023-08-16,7.42.00 PM,2023-08-16,7.47.00 PM,300,3,Beauty,Shampoo
SES000191,CUST0488,Mobile,2023-08-05,12.21.00 PM,2023-08-05,12.30.41 PM,581,5,Electronics,Headphones
SES000192,CUST0091,Desktop,2023-09-01,2.24.00 PM,2023-09-01,2.31.26 PM,446,14,Groceries,Juice
SES000193,CUST0217,Desktop,2023-09-02,7.25.00 AM,2023-09-02,7.39.56 AM,896,3,Sports,Tennis Racket
SES000194,CUST0179,Desktop,2023-04-01,8.52.00 AM,2023-04-01,8.53.53 AM,113,2,Sports,Tennis Racket
SES000195,CUST0093,Mobile,2023-03-01,3.01.00 AM,2023-03-01,3.09.30 AM,510,10,Fashion,T-shirt
SES000196,CUST0391,Mobile,2023-03-16,5.34.00 AM,2023-03-16,5.37.24 AM,204,10,Groceries,Snacks
SES000197,CUST0353,Tablet,2023-02-17,5.35.00 AM,2023-02-17,5.41.51 AM,411,7,Electronics,Laptop
SES000198,CUST0347,Mobile,2023-01-09,9.57.00 PM,2023-01-09,10.09.52 PM,772,1,Electronics,Headphones
SES000199,CUST0102,Tablet,2023-04-20,1.16.00 PM,2023-04-20,1.30.34 PM,874,3,Fashion,T-shirt
SES000200,CUST0085,Desktop,2023-12-08,11.27.00 AM,2023-12-08,11.41.52 AM,892,6,Groceries,Oil
SES000201,CUST0281,Mobile,2023-01-07,5.31.00 PM,2023-01-07,5.33.58 PM,178,8,Fashion,Jacket
SES000202,CUST0332,Desktop,2023-06-22,2.14.00 PM,2023-06-22,2.22.10 PM,490,15,Groceries,Snacks
SES000203,CUST0341,Tablet,2023-09-21,4.01.00 PM,2023-09-21,4.02.07 PM,67,1,Electronics,Headphones
SES000204,CUST0032,Desktop,2023-03-13,3.56.00 AM,2023-03-13,4.05.27 AM,567,11,Groceries,Snacks
SES000205,CUST0115,Desktop,2023-01-01,3.06.00 PM,2023-01-01,3.10.52 PM,292,12,Electronics,Keyboard
SES000206,CUST0215,Desktop,2023-07-04,12.38.00 PM,2023-07-04,12.47.05 PM,545,14,Beauty,Perfume
SES000207,CUST0366,Desktop,2023-03-22,4.16.00 AM,2023-03-22,4.30.22 AM,862,4,Beauty,Perfume
SES000208,CUST0116,Mobile,2023-03-12,4.24.00 PM,2023-03-12,4.27.02 PM,182,7,Electronics,Laptop
SES000209,CUST0472,Desktop,2023-08-14,6.18.00 PM,2023-08-14,6.23.10 PM,310,1,Sports,Tennis Racket
SES000210,CUST0397,Tablet,2023-03-10,5.40.00 PM,2023-03-10,5.42.10 PM,130,8,Beauty,Face Wash
SES000211,CUST0292,Tablet,2023-11-27,3.30.00 PM,2023-11-27,3.41.49 PM,709,14,Groceries,Juice
SES000212,CUST0096,Tablet,2023-09-05,10.01.00 AM,2023-09-05,10.11.08 AM,608,3,Electronics,Laptop
SES000213,CUST0497,Desktop,2023-03-21,6.24.00 AM,2023-03-21,6.27.55 AM,235,2,Fashion,Shoes
SES000214,CUST0148,Tablet,2023-09-03,8.41.00 AM,2023-09-03,8.47.02 AM,362,3,Sports,Tennis Racket
SES000215,CUST0047,Tablet,2023-01-22,11.21.00 PM,2023-01-22,11.26.50 PM,350,5,Fashion,Jacket
SES000216,CUST0262,Desktop,2023-06-10,9.58.00 AM,2023-06-10,10.11.27 AM,807,2,Sports,Cricket Bat
SES000217,CUST0215,Tablet,2023-06-16,6.48.00 PM,2023-06-16,6.53.38 PM,338,3,Groceries,Rice
SES000218,CUST0034,Mobile,2023-07-19,12.28.00 PM,2023-07-19,12.33.03 PM,303,1,Sports,Football
SES000219,CUST0206,Mobile,2023-04-18,3.11.00 AM,2023-04-18,3.19.28 AM,508,15,Groceries,Juice
SES000220,CUST0203,Mobile,2023-08-12,1.04.00 PM,2023-08-12,1.12.16 PM,496,14,Sports,Tennis Racket
SES000221,CUST0292,Tablet,2023-09-11,1.31.00 PM,2023-09-11,1.42.16 PM,676,5,Sports,Tennis Racket
SES000222,CUST0212,Desktop,2023-10-24,11.29.00 AM,2023-10-24,11.31.50 AM,170,6,Fashion,Jeans
SES000223,CUST0206,Desktop,2023-09-12,7.27.00 PM,2023-09-12,7.41.10 PM,850,13,Groceries,Oil
